Date,Year,Type,Country,Area,Location,Activity,Sex,Age,Injury,Fatal (Y/N),Time,Species,Day,Month,Lat,Lng
19-Sep-11,2011,Unprovoked,REUNION ISLAND,Saint-Gilles,Boucan-Canot,Body boarding,M,38,FATAL,Y,15,Non-Disclosed,19,Sep,-21.0272603,55.2265249
17-Sep-11,2011,Unprovoked,KENYA,Coast Province,"Mama Ngina Beach, Mombasa ",Swimming,M,17,FATAL,Y,,Non-Disclosed,17,Sep,-4.0758703,39.673976
16-Sep-11,2011,Unprovoked,USA,Florida,New Smyrna Beach,Surfing,M,25,Lacerations to arm,N,11,4' to 6' shark,16,Sep,29.0258191,-80.9269984
11-Sep-11,2011,Unprovoked,USA,California,"Samoa Beach, Humboldt County",Surfing,M,37,"No injury, board bitten",N,12,Non-Disclosed,11,Sep,40.8062813,-124.1991726
11-Sep-11,2011,Unprovoked,PAPUA NEW GUINEA,Central Province,"Hula, near Port Moresby",Kite Surfing,M,30,Lacerations to right leg,N,,"Tiger shark, 2m",11,Sep,-10.0948154,147.727522
4-Sep-11,2011,Unprovoked,USA,Hawaii,"Nimitz State Beach, Oahu",Surfing,Non-Disclosed,,"No injury, shark bit surfboard",N,13,Non-Disclosed,4,Sep,21.299765,-158.0666611
4-Sep-11,2011,Unprovoked,AUSTRALIA,Western Australia, Bunker Bay,Body boarding,M,21,FATAL,Y,13,White shark,4,Sep,-33.543638,115.030785
2-Sep-11,2011,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,19,Lacerations to ankle & foot,N,11,"6' shark, possibly a blactip or spinner shark",2,Sep,29.0258191,-80.9269984
31-Aug-11,2011,Unprovoked,USA,Florida,Crescent Beach St. Johns County,Surfing,M,19,Lacerations to lower leg,N,11,6' shark,31,Aug,29.76886,-81.2536786
28-Aug-11,2011,Invalid,AUSTRALIA,Queensland,Fantome Island,Swimming,M,48,FATAL,Uncomfirmed,19,Shark involvement prior to death not confirmed,28,Aug,-18.6932861,146.5196111
28-Aug-11,2011,Unprovoked,USA,Texas,"Grass Island, Aransas County",Wade Fishing,F,39,"Lacerations to anterior left shin, abrasion to posteior right leg",N,19,Non-Disclosed,28,Aug,28.0514053,-97.1538796
26-Aug-11,2011,Unprovoked,RUSSIA,Primorsky Krai,Slavyanka,"Standing, collecting sea stars",M,,Superficial laceration to shoulder,N,,Non-Disclosed,26,Aug,42.8624479,131.3893686
24-Aug-11,2011,Unprovoked,USA,North Carolina,"Buxton Beach, Dare County",Surfing,M,21,Lacerations to foot,N,,Non-Disclosed,24,Aug,35.2688839,-75.5394136
24-Aug-11,2011,Unprovoked,USA,North Carolina,Holden Beach. Brunswick County,UNKNOWN,M,10,Heel bitten,N,15,Non-Disclosed,24,Aug,33.9135061,-78.3038892
23-Aug-11,2011,Unprovoked,SOUTH AFRICA,Western Cape Province,"Lookout Beach, near the Keurbooms river mouth in Plettenberg Bay",Surfing,M,49,FATAL,Y,9,"White shark, >6'",23,Aug,-34.0518446,23.3773891
18-Aug-11,2011,Unprovoked,RUSSIA,Primorsky Krai,Zheltukhin Island,Swimming,M,16,"Lacerations to hip, thigh and knee",N,,Non-Disclosed,18,Aug,49.3318396,43.9523485
17-Aug-11,2011,Unprovoked,USA,North Carolina,"Kure Beach, New Hanover County",Wading,F,20,Lacerations to foot,N,17,Possibly a 5' to 6' sandtiger shark,17,Aug,33.9968399,-77.9072081
17-Aug-11,2011,Invalid,USA,North Carolina,"Wrightsville Beach, New Hanover County",UNKNOWN,M,12,Abrasions to left hand,Uncomfirmed,16,Shark involvement not confirmed,17,Aug,34.2085036,-77.7963709
17-Aug-11,2011,Unprovoked,RUSSIA,Primorsky Krai,Vityaz,Swimming,M,25,Hands severed,N,,4 m shark,17,Aug,,
16-Aug-11,2011,Unprovoked,FRENCH POLYNESIA,Society Islands,"Teahupoo, Tahiti",Surfing,M,32,"No injury, board bitten",N,15,Grey reef shark ,16,Aug,-17.8470784,-149.2677076
16-Aug--2011,2011,Unprovoked,USA,Puerto Rico, Vieques,Floating ,M,27,Lacerations to  lower right leg and foot,N,,Non-Disclosed,,,18.1262854,-65.4400985
16-Aug-11,2011,Unprovoked,SEYCHELLES,Praslin,Anse Lazio ,Swimming or Snorkeling,M,30,FATAL,Y,16,"Bull shark, 6'",16,Aug,-4.2936687,55.7015064
15-Aug-11,2011,Invalid,USA,South Carolina,"Myrtle Beach, Horry County",Playing in the surf,M,7,Puncture wounds to foot,N,,Shark involvement not confirmed,15,Aug,33.6890603,-78.8866943
11-Aug--2011,2011,Unprovoked,USA,North Carolina,Beaufort Inlet,Swimming,M,54,Lower right leg bitten,N,14,Non-Disclosed,,,34.6937732,-76.6663185
1-Aug-11,2011,Unprovoked,SEYCHELLES,Praslin,Anse Lazio ,Diving,M,36,FATAL,Y,15,Non-Disclosed,1,Aug,-4.2936687,55.7015064
31-Jul-11,2011,Invalid,BRAZIL,Pernambuco,Praia do Pina,Swimming,M,14,Cause of death may have been drowning; remains scavenged by sharks,Uncomfirmed,,Shark involvement prior to death not confirmed,31,Jul,-8.0951587,-34.8820633
30-Jul-11,2011,Sea Disaster,PHILIPPINES,UNKNOWN,,Sea disaster,M,43,The two Malabagos were bitten by sharks but survived. The other occupants of the boat  were rescued.,N,,Non-Disclosed,30,Jul,37.2256055,-95.7162018
25-Jul-11,2011,Unprovoked,USA,New Jersey,"Egg Harbor, Atlantic County",Wade Fishing,M,,"No injury, shark bit boot",N,,Non-Disclosed,25,Jul,39.3822537,-74.6166192
22-Jul-11,2011,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Cintza Beach, East London",Surfing,M,29,Upper left arm & right leg bitten,N,10,"White shark, 3m to 4m",22,Jul,-32.827636,28.1178815
19-Jul-11,2011,Unprovoked,USA,North Carolina,"Ocracoke Island, Hyde County",Boogie Boarding,F,6,Lower right leg & foot bitten,N,17,Non-Disclosed,19,Jul,35.1146152,-75.9810097
15-Jul-11,2011,Boating,REUNION ISLAND,Saint-Gilles,Brisants. ,Kayaking or Wave skiing,M,,No injury,N,17,Non-Disclosed,15,Jul,,
13-Jul-11,2011,Unprovoked,USA,Texas,"South Padre Island, Cameron County",Surf fishing,M,,Lacerations to left foot,N,20,Non-Disclosed,13,Jul,26.1118401,-97.1681257
13-Jul-11,2011,Unprovoked,BAHAMAS,Grand Bahama Island,Off Lucaya,Scuba diving,M,54,Injuries to arm,N,12,Non-Disclosed,13,Jul,26.5127944,-78.6399542
7-Jul-11,2011,Unprovoked,USA,Texas,"Sunday Beach, Matagorda Island, Calhoun  County",Swimming,M,12,Foot bitten,N,17,Non-Disclosed,7,Jul,28.1688928,-96.7386946
7-Jul-11,2011,Unprovoked,USA,Texas,"Mustang Island, Nueces County",Wade Fishing,M,14,Lacerations to right foot,N,,Non-Disclosed,7,Jul,27.7103944,-97.1628647
6-Jul-11,2011,Unprovoked,REUNION ISLAND,Saint-Gilles,Roches Noires,Surfing,M,16,Minor injuries: scratches on nose & ankle. Board broken in two,N,14,Non-Disclosed,6,Jul,-20.1100712,57.7261042
5-Jul-11,2011,Unprovoked,COLUMBIA,Sucre,"Libertad, San Onofre",Kayaking,M,17,"Right arm bitten, defense wounds to left hand",N,10,Non-Disclosed,5,Jul,9.898597,-75.572295
30-Jun-11,2011,Unprovoked,TURKS & CAICOS,Middle Caicos,Mudjin Harbor,Snorkeling,M,28,Lacerations to left shoulder and back,N,13,Non-Disclosed,30,Jun,21.8366398,-71.8123735
29-Jun-11,2011,Unprovoked,BRAZIL,Pernambuco,Praia do Pina,Surfing,M,21,Lacerations to right thigh,N,10,Non-Disclosed,29,Jun,-8.0951587,-34.8820633
28-Jun-11,2011,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Aliwal Shoal,Scuba diving,M,22,Severe lacerations to hands and  left leg,N,12,"Bull shark, 3m female",28,Jun,-30.25,30.8166667
26-Jun-08,2011,Unprovoked,USA,North Carolina,"North Topsail Beach, Onslow County",Playing in the surf,F,10,Ankle bitten,N,,"Bull shark, 6'",26,Jun,34.4901665,-77.43163
24-Jun-11,2011,Unprovoked,USA,California,"San Onofre State Beach, San Diego County",Surfing,M,,Shark leapt onto surfboard; surfer uninjured ,N,13,"White shark, 5' k",24,Jun,33.3728077,-117.5656012
21-Jun-11,2011,Unprovoked,USA,Florida,"Perdido Key, Escambia County",Jet skiing,M,20,Lacerations to foot and ankle,N,,Non-Disclosed,21,Jun,30.3035037,-87.4273172
19-Jun-11,2011,Unprovoked,TURKS & CAICOS,Caicos Bank,French Cay,Spearfishing,M,35,Right calf bitten,N,,5' shark,19,Jun,21.5,-72.25
19-Jun-11,2011,Unprovoked,COSTA RICA,Guanacaste,Playa Grande,Surfing,M,15,FATAL,Y,12,Non-Disclosed,19,Jun,22.8765328,-109.9084561
15-Jun-11,2011,Unprovoked,REUNION ISLAND,Saint-Gilles,Boucan-Canot,Boogie Boarding,M,31,FATAL,Y,17,Non-Disclosed,15,Jun,-21.0272603,55.2265249
Reported 14-Jun-2011,2011,Boating,UNITED KINGDOM,Cornwall,St. Ives,Fishing,Non-Disclosed,,"No injury, shark slammed into boat",N,,"Oceanic whitetip shark, 7'",14,Jun,50.2083858,-5.4908864
12-Jun-11,2011,Unprovoked,USA,Florida,"Off Jupiter Inlet, Palm Beach County",Scuba diving,M,28,Lacerations to right calf,N,14,"Blacktip shark, 4'",12,Jun,26.9478705,-80.0744458
Reported 06-Jun-2011,2011,Unprovoked,COLUMBIA,San Andrés archipelago,Albuquerque Cay,Spearfishing,M,24,Injuries to right hand and forearm,N,,Non-Disclosed,6,Jun,35.0843859,-106.650422
6-Jun-11,2011,Unprovoked,USA,California,"La Jolla, San Diego County",Spearfishing,M,28,"No injury, minor damage to wetsuit",N,,"Sevengill shark, 6' to 8'",6,Jun,32.8328112,-117.2712717
6-Jun-11,2011,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Wading,M,19,Puncture wound to calf,N,12,3' to 4' shark,6,Jun,29.0258191,-80.9269984
1-Jun-11,2011,Unprovoked,MALAYSIA,Kedah,Palau Payar,Snorkeling,F,,Laceration to dorsum of right foot,N,,Blacktip reef shark ,1,Jun,6.05,100.0333333
30-May-11,2011,Unprovoked,USA,Texas,"Follett's Island, Brazoria County",Standing or boogie boardin,F,22,Lacerations & punctures to right thigh ,N,15,Non-Disclosed,30,May,29.0424663,-95.1696535
29-May-11,2011,Unprovoked,SOUTH AFRICA,Western Cape Province,Robberg Beach,Surfing,M,33,"No injury, board bumped by shark",N,,White shark,29,May,-34.0761111,23.3705556
25-May-11,2011,Unprovoked,USA,Hawaii,"Lyman Beach, Kailua-Kona",Surfing,F,,"No injury, board bitten",N,13,"Tiger shark, 10'",25,May,19.6030311,-155.9743194
22-May-11,2011,Unprovoked,USA,Hawaii,"Lyman Beach, Kailua-Kona",Paddle boarding,F,,"No injury, board bitten",N,12,Tiger shark,22,May,19.6030311,-155.9743194
21-May-11,2011,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Levan Point,Spearfishing,M,28,"Thigh bitten, FATAL",Y,,Zambesi shark,21,May,55.9480683,-4.8587025
13-May-11,2011,Unprovoked,USA,Florida,"Ponte Vedra Beach, St Johns County",Body surfing,M,86,Lacerations to left foot & ankle,N,15,Non-Disclosed,13,May,30.2400058,-81.3852595
21-May-11,2011,Unprovoked,NEW CALEDONIA,North Province,Kendec,Kite Boarding,M,15,"Thigh bitten, FATAL",Y,11," Tiger shark, 2.8m",21,May,-20.6666667,164.25
13-May-11,2011,Unprovoked,USA,Florida,"Ormond Beach, Volusia County",Surfing,M,37,Minor injury; puncture wounds to calf,N,6,Non-Disclosed,13,May,29.2858129,-81.0558894
10-May-11,2011,Provoked,USA,Florida,Miami,Fishing ,M,,Laceration to arm by captive shark PROVOKED INCIDENT,N,,"Sandbar shark, 8'",10,May,25.7616798,-80.1917902
Reported 07-May-2011,2011,Invalid,UNITED ARAB EMIRATES,Umm al Qaywayan Province,Khor Fakkan ,Fishing ,M,43,"Erroneously reported on several internet sites as a ""shark attack"", it was the shark 8', 300-kg mako shark that was attacked, not the fisherman",Uncomfirmed,,Invalid,7,May,25.3365669,56.3432629
4-May-11,2011,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Palm Beach,Spearfishing,M,37,Calf bitten,N,,Non-Disclosed,4,May,26.7056206,-80.0364297
26-Apr-11,2011,Unprovoked,USA,Florida,"Riviera Beach, Palm Beach County",Spearfishing,M,32,Calf bitten,N,,"Bull shark, 12'",26,Apr,26.7753405,-80.0580969
23-Apr-11,2011,Unprovoked,AUSTRALIA,Western Australia,Red Bluffs,Washing sand off a speared fish,M,17,Heel bitten,N,15,"reef shark, 1.5m",23,Apr,31.3256441,-89.9457276
22-Apr-11,2011,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing ,M,49,Minor puncture wounds,N,15,1' to 2' shark,22,Apr,29.0258191,-80.9269984
16-Apr-11,2011,Unprovoked,NEW ZEALAND,South Island,Snapper Point,Surfing,M,41,Puncture to left hand,N,,possibly a bronze whaler shark,16,Apr,35.0370286,-81.0344199
13-Apr-11,2011,Unprovoked,INDONESIA,Bali,Balian,Surfing,M,,Lacerations to forearm,N,," Bull shark, 2.5 m",13,Apr,34.0472025,-118.2535303
8-Apr-11,2011,Unprovoked,FIJI,Vitu Levu,"Malake Island, Ra Province",Diving,M,27,Minor injuries to left leg and hand,N,,Non-Disclosed,8,Apr,-17.320139,178.1413387
Reported 29-Mar-2011,2011,Provoked,USA,Texas,Matagorda Beach,"Standing, holding shark pup",M,,Minor laceration to shoulder from captive shark PROVOKED INCIDENT,N,,Blacktip shark pup,29,Mar,28.5973417,-95.9772678
24-Mar-11,2011,Unprovoked,MEXICO,Quintana Roo,"Gaviotas Beach, Cancun",Swimming,F,,Lower leg & foot bitten,N,,Bull shark,24,Mar,21.1383984,-86.7678003
23-Mar-11,2011,Unprovoked,AUSTRALIA,New South Wales,Crowdy Head,Surfing,M,48,Severe injury to left forearm,N,17,"Bull shark, 2.5m",23,Mar,-31.8443241,152.7265099
21-Mar-11,2011,Unprovoked,MEXICO,Quintana Roo,,Swimming,M,46,Right foot bitten,N,,Non-Disclosed,21,Mar,37.2256055,-95.7162018
21-Mar-11,2011,Unprovoked,FIJI,UNKNOWN,Nukudamu ,Diving / fishing,M,30,"Left forearm severely bitten, surgically amputated",N,16,Non-Disclosed,21,Mar,,
16-Mar-11,2011,Unprovoked,AUSTRALIA,New South Wales,"Jimmys Beach, Port Stephens",Wakeboarding,F,24,"Severe injuries to head, neck, shoulder & upper left arm",N,13,3 m to 4 m shark,16,Mar,-32.6790132,152.1762756
Reported 10-Mar-2010,2011,Invalid,EGYPT,South Sinai,Sharm-el-Sheikh,UNKNOWN,F,,"Apparent drowning, and subsequent scavenging by 16' tiger shark",Uncomfirmed,,Non-Disclosed,10,Mar,27.9654198,34.3617769
10-Mar-11,2011,Unprovoked,AUSTRALIA,New South Wales,"Tallow Beach, Byron Bay",Surfing,M,,"No injury, surboard broken",N,,Non-Disclosed,10,Mar,-28.6524251,153.6279337
Reported 28-Feb-2011,2011,Provoked,AUSTRALIA,Queensland,Between ,Fishing,M,36,Lacerations to right hand by hooked shark PROVOKED INCIDENT,N,10,"Bull shark, 2m",28,Feb,40.763943,-73.9800479
23-Feb-11,2011,Unprovoked,NEW CALEDONIA,Ouvea,"Bay of Bweedro, Ouvéa",Spearfishing,M,21,Lacerations to left forearm,N,,1.5 m shark,23,Feb,,
18-Feb-11,2011,Unprovoked,REUNION ISLAND,Saint Gilles ,Trois-Roches,Surfing,M,32,Left leg severed at the knee,N,18,Non-Disclosed,18,Feb,47.4426234,-0.5473106
17-Feb-11,2011,Unprovoked,AUSTRALIA,South Australia,Off Perforated Island near Coffin Bay,Diving for abalone,M,49,FATAL,Y,18,White shark x 2,17,Feb,-34.726845,135.1582224
13-Feb-11,2011,Provoked,AUSTRALIA,Queensland,Sunshine Beach,Fishing,M,,Lacerations to calf by hooked shark PROVOKED INCIDENT,N,10,1 m shark,13,Feb,-26.407,153.105
12-Feb-11,2011,Unprovoked,AUSTRALIA,Western Australia,Exmouth,Snorkeling,M,58,Arm bitten,N,,Non-Disclosed,12,Feb,50.619957,-3.413702
Reported 04-Feb-2011,2011,Provoked,MEXICO,Colima,"Manzanillo, Revillagigedo Islands",Shark fishing on the Ricardo Astorga,M,,Left foot bitten PROVOKED INCIDENT,N,,Non-Disclosed,4,Feb,18.8368255,-112.7727754
2-Feb-11,2011,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Sundays River Mouth, Port Elizabeth",Surf fishing,M,37,Right leg bitten,N,,Non-Disclosed,2,Feb,-33.6933635,25.8224447
31-Jan-11,2011,Unprovoked,MEXICO,Quintana Roo,Cancun,Swimming,F,38,"Leg, forearm & hand severely bitten",N,12,6' shark,31,Jan,21.161908,-86.8515279
28-Jan-11,2011,Provoked,MEXICO,Colima,Revillagigedo Islands,Shark fishing on the Don Agustín-VI. ,M,25,Left eg bitten PROVOKED INCIDENT,N,,Non-Disclosed,28,Jan,18.8368255,-112.7727754
26-Jan-11,2011,Unprovoked,BAHAMAS,West End,Tiger Beach,Scuba diving,M,55,Arm bitten ,N,15,Caribbean reef shark,26,Jan,27.2210598,-80.1790801
20-Jan-11,2011,Invalid,AUSTRALIA,New South Wales,Cudgen Creek ,Swimming,F,7,Lacerations to both legs,Uncomfirmed,17,Shark involvement not confirmed,20,Jan,-28.2765787,153.5730286
15-Jan-11,2011,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Second Beach, Port St. John's",Surfing,M,16,FATAL,Y,12,Non-Disclosed,15,Jan,-31.6409371,29.5299196
Reported 12-Jan 2011,2011,Unprovoked,MEXICO,Quintana Roo,Xcalak ,Attempting to fix motor,M,37,Bitten on leg and groin,N,,Non-Disclosed,,,18.2713889,-87.8358333
3-Jan-11,2011,Boating,AUSTRALIA,Western Australia,Busselton,Fishing,Non-Disclosed,,"No injury, shark nudged boat and bit propeller",N,12,White shark,3,Jan,-33.6531584,115.3454892
26-Dec-10,2010,Unprovoked,USA,Hawaii," Kahului, Maui",Body boarding,M,16,"Lacerations to his lower left leg, calf, foot & ankle",N,15,6' shark,26,Dec,20.8893351,-156.4729469
17-Dec-10,2010,Unprovoked,FIJI,Vitu Levu,Sigatoka,Surfing,M,,Lacerations to  foot,N,,Non-Disclosed,17,Dec,-18.1416372,177.5074315
11-Dec-10,2010,Unprovoked,USA,Hawaii,"Tavares Bay, Maui",Surfing,M,46,Lacerations to right foot,N,13,Non-Disclosed,11,Dec,20.9224318,-156.3725317
5-Dec-10,2010,Unprovoked,EGYPT,South Sinai,"Middle Garden, Sharm el-Shiekh",Snorkeling,F,70,FATAL,Y,12,"Oceanic whitetip shark, 2.5m ",5,Dec,27.9158175,34.3299504
Reported 03-Dec-2010,2010,Unprovoked,INDONESIA,Bali,Balian,Surfing,M,,Lacerations to right hand,N,,Non-Disclosed,3,Dec,34.0472025,-118.2535303
1-Dec-10,2010,Unprovoked,EGYPT,South Sinai,"Ras Nasrani, Sharm el-Sheikh",Snorkeling,M,54,Both arms severely bitten,N,11,Mako shark ,1,Dec,27.9642893,34.4173373
1-Dec-10,2010,Unprovoked,EGYPT,South Sinai,"Ras Nasrani, Sharm el-Sheikh",Snorkeling,M,46,Lacerations to right leg,N,10,Mako shark,1,Dec,27.9642893,34.4173373
30-Nov-10,2010,Unprovoked,EGYPT,South Sinai,"Coral Bay, Sharm el-Sheikh",Snorkeling,F,70,"Foot severed, Right forearm severed, lacerations to left hand (defense wounds)",N,14,"Oceanic whitetip shark, 2.5m, female",30,Nov,27.930153,34.364075
30-Nov-10,2010,Unprovoked,EGYPT,South Sinai,"Coral Bay, Sharm el-Sheikh",Snorkeling,F,48,Foot and arm bitten,N,14,"Oceanic whitetip shark, 2.5m, female",30,Nov,27.930153,34.364075
Reported 27-Nov-2010,2010,Unprovoked,SAMOA,UNKNOWN,,Fishing,M,47,Serious wounds to chest,N,,Non-Disclosed,27,Nov,37.2256055,-95.7162018
27-Nov-10,2010,Invalid,AUSTRALIA,Western Australia,Native Dog Beach,Swimming,M,,Death may have been due to drowning,Uncomfirmed,,Shark involvement not confirmed,27,Nov,-34.450121,119.3560222
19-Nov-10,2010,Provoked,USA,Palmyra Atoll,,Snorkeling,M,33,Head bitten by netted shark PROVOKED INCIDENT,N,13,Non-Disclosed,19,Nov,37.2256055,-95.7162018
15-Nov-10,2010,Unprovoked,DOMINICAN REPUBLIC,UNKNOWN,Boca Chica,Diving,M,21,FATAL,Y,,Non-Disclosed,15,Nov,18.4547535,-69.6082811
14-Nov-10,2010,Unprovoked,INDONESIA,Bali,Balian,Surfing,M,,Hand bitten ,N,,Non-Disclosed,14,Nov,34.0472025,-118.2535303
Reported 12-Nov-2010,2010,Boating,AUSTRALIA,Western Australia,Between Carnac and Garden Islands,Fishing,M,,No injury to occupant. Shark rammed bottom of the boat,N,,White shark,12,Nov,-32.1209579,115.6620901
30-Oct-10,2010,Unprovoked,AUSTRALIA,Western Australia,Off Garden Island,Snorkeling,F,20,Torso and left buttock bitten,N,12,White shark,30,Oct,-32.2043254,115.6776274
Reported 28-Oct-2010,2010,Unprovoked,AUSTRALIA,Western Australia,Cheynes Beach,Spearfishing,M,,"No injury, shark head-butted diver's thigh",N,,Non-Disclosed,28,Oct,-34.88414,118.404629
28-Oct-10,2010,Unprovoked,USA,Oregon,Florence,Surfing,M,,No injury to surfer,N,15,Non-Disclosed,28,Oct,43.7695604,11.2558136
25-Oct-10,2010,Provoked,AZORES,UNKNOWN,350 miles from Faial Island,Fishing,M,,PROVOKED INCIDENT?  ,N,,Non-Disclosed,25,Oct,38.5912552,-28.6964752
23-Oct-10,2010,Unprovoked,USA,Maine,"Burnt Cove near Eastport, Washington County",Scuba diving,M,30,"No injury to diver, shark bit his video camera",N,,"Porbeagle shark, 8' ",23,Oct,44.8375672,-67.1558211
23-Oct-10,2010,Unprovoked,AUSTRALIA,Western Australia,Wedge Island,Kite Surfing,M,14,Lacerations to lower right leg,N,,Non-Disclosed,23,Oct,-30.8277891,115.1879896
22-Oct-10,2010,Unprovoked,USA,California,"Surf Beach, Vandenberg AFB, Santa Barbara County",Body boarding,M,19,FATAL,Y,8,"White shark, 14' to 18' ",22,Oct,34.6831139,-120.6064278
20-Oct-10,2010,Unprovoked,EGYPT,South Sinai,Sharm el-Sheikh ,Snorkeling,F,,Multiple lacerations to left leg and foot,N,,Non-Disclosed,20,Oct,27.9654198,34.3617769
9-Oct-10,2010,Unprovoked,AUSTRALIA,New South Wales,Mullaway Headland,Surfing,M,22,Foot bitten,N,13,"Bull shark, 1.4m ",9,Oct,-30.0771318,153.2051742
2-Oct-10,2010,Unprovoked,BAHAMAS,Exuma Islands,,Snorkeling,M,,Calf bitten,N,,Lemon shark,2,Oct,37.2256055,-95.7162018
2-Oct-10,2010,Unprovoked,BAHAMAS,Abaco Islands,Elbow Cay,Surfing,F,,Bitten between left ankle & knee,N,15,Possibly a 6' lemon shark,2,Oct,26.52594,-76.9686267
1-Oct-10,2010,Unprovoked,SOUTH AFRICA,Western Cape Province,"Melkbaai, Strand",Surfing,M,,3 lacerations to foot,N,14,Non-Disclosed,1,Oct,-34.1075151,18.8210006
27-Sep-10,2010,Unprovoked,USA,Oregon,Winchester Bay,Surfing,M,29,"No injury, surfboard rammed",N,16,White shark,27,Sep,43.6770608,-124.1748369
24-Sep-10,2010,Unprovoked,USA,Virginia,Sandridge Beach,Surfing,M,18,Bite to left ankle and knee,N,16,Non-Disclosed,24,Sep,36.7239073,-75.9390662
21-Sep-10,2010,Unprovoked,SOUTH AFRICA,Western Cape Province,Between Dyer Island and Pearly Beach,Swimming,M,29,FATAL,Y,,White shark,21,Sep,-34.6841036,19.4147569
 13-Sep-2010,2010,Unprovoked,AUSTRALIA,New South Wales,Fraser's Reef,Surfing,M,15,Lacerations and puncture wounds to leg and foot,N,17,2m shark,13,Sep,,
7-Sep-10,2010,Unprovoked,USA,Florida,"St. Augustine, St. John's County",Swimming,M,27,Lacerations to left wrist,N,,3' shark,7,Sep,29.9012437,-81.3124341
Reported 06-Sep-2010,2010,Unprovoked,TONGA,Ha'api,,Swimming /  Whale Watching,M,24,Puncture wounds to right foot,N,12,Non-Disclosed,6,Sep,37.2256055,-95.7162018
 04-Sep-2010,2010,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,,"No injury, shark charged surfboard",N,,Non-Disclosed,4,Sep,29.0258191,-80.9269984
3-Sep-10,2010,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,24,Lacerations to right  hand ,N,12,Non-Disclosed,3,Sep,29.0258191,-80.9269984
3-Sep-10,2010,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,24,Left thigh bitten,N,9,Non-Disclosed,3,Sep,29.0258191,-80.9269984
2-Sep-10,2010,Unprovoked,SOLOMON ISLANDS,Western Province,,UNKNOWN,M,34,Lacerations to face and neck,N,,Non-Disclosed,2,Sep,37.2256055,-95.7162018
29-Aug-10,2010,Invalid,BAHAMAS,Exuma Islands,"Off Jaws Beach, New Providence Island",Swimming after boat became disabled,M,43,"His partial remains were recovered from a 12' tiger shark on September 5, 2010. Cause of death was thought to be drowning",Uncomfirmed,,Shark involvement prior to death was not confirmed,29,Aug,25.0186684,-77.5451485
18-Aug-10,2010,Unprovoked,USA,Florida,Crescent Beach St. Johns County,Boogie Boarding,M,10,Minor injuries to foot,N,9,Non-Disclosed,18,Aug,29.76886,-81.2536786
17-Aug-10,2010,Unprovoked,AUSTRALIA,Western Australia,Cowaramup Bay,Surfing,M,31,FATAL,Y,8,White shark,17,Aug,-33.8606025,114.9857991
14-Aug-10,2010,Boating,USA,California,"Pigeon Point, San Mateo County",Kayak Fishing,M,45,"No injury, kayak bitten",N,,White shark,14,Aug,37.1864492,-122.3832545
10-Aug-10,2010,Provoked,AUSTRALIA,Queensland,"Three Mile Creek, Townsville",Fishing,F,,Leg bitten by hooked shark PROVOKED INCIDENT,N,19,Non-Disclosed,10,Aug,-19.208941,146.7684223
10-Aug-10,2010,Unprovoked,SOUTH KOREA,Jeju Province,Jeju Island,Swimming,F,16,Lacerations to left lower leg,N,,Non-Disclosed,10,Aug,33.4890113,126.4983023
8-Aug-10,2010,Unprovoked,AUSTRALIA,New South Wales,Crescent Head,Surfing,M,47,Left foot bitten,N,8,Non-Disclosed,8,Aug,-31.1861501,152.9132368
7-Aug-10,2010,Unprovoked,USA,North Carolina,"Figure Eight Island, Wilmington, New Hanover County",Surfing,M,25,Left foot bitten,N,15,Non-Disclosed,7,Aug,34.2693745,-77.7444928
7-Aug-10,2010,Unprovoked,MALTA,UNKNOWN,"Off Fort St. Elmo, Valetta",Windsurfing,M,35,"No injury, sail bitten",N,,3 m shark,7,Aug,35.900995,14.518823
5-Aug-10,2010,Invalid,USA,Florida,"Bethune Beach, Volusia County",Swimming,F,,Minor abrasions to legs when she was lifted on the back of a large marine animal,Uncomfirmed,19,Shark involvement not confirmed,5,Aug,28.9491539,-80.83783
2-Aug-10,2010,Boating,USA,California,"Near oil rig Hondo, 5 nm from Gaviota, Santa Barbara County",Kayaking,M,,"No injury, kayak bitten",N,12,"White shark, 15'",2,Aug,,
2-Aug-10,2010,Unprovoked,USA,Florida,"Micklers Landing, St. Johns County",Standing,F,37,Lacerations to forearm,N,11,3' to 4' shark,2,Aug,30.1615592,-81.3573744
25-Jul-10,2010,Unprovoked,USA,South Carolina,"Isle of Palms, Charleston County",Standing,M,16,Lacerations to right lower leg,N,,4' shark,25,Jul,32.8194131,-79.7343791
